message number,latency (usec),message size,interval (usec),
402,2226,4,100000,
403,2959,4,100000,
404,2658,4,100000,
405,2416,4,100000,
406,2090.5,4,100000,
407,2816,4,100000,
408,3552,4,100000,
409,2327,4,100000,
410,2987.5,4,100000,
411,2685,4,100000,
412,3394,4,100000,
413,2153.5,4,100000,
414,2835,4,100000,
415,3598,4,100000,
416,2333.5,4,100000,
417,2034.5,4,100000,
418,2708.5,4,100000,
419,2481,4,100000,
420,2734,4,100000,
421,2864.5,4,100000,
422,2626,4,100000,
423,2338.5,4,100000,
424,2056,4,100000,
425,2735,4,100000,
426,2685,4,100000,
427,2784,4,100000,
428,1914.5,4,100000,
429,2838,4,100000,
430,2374,4,100000,
431,2086,4,100000,
432,2805,4,100000,
433,2697.5,4,100000,
434,2234.5,4,100000,
435,2132.5,4,100000,
436,2670,4,100000,
437,2390,4,100000,
438,2093,4,100000,
439,2815.5,4,100000,
440,2749.5,4,100000,
441,2297,4,100000,
442,1947.5,4,100000,
443,2672,4,100000,
444,2391,4,100000,
445,2320.5,4,100000,
446,2841.5,4,100000,
447,2559.5,4,100000,
448,2302.5,4,100000,
449,3014.5,4,100000,
450,2899,4,100000,
451,2481.5,4,100000,
452,2192.5,4,100000,
453,2866,4,100000,
454,2580,4,100000,
455,2346.5,4,100000,
456,2269,4,100000,
457,2737.5,4,100000,
458,2490,4,100000,
459,2225,4,100000,
460,2967.5,4,100000,
461,2669,4,100000,
462,2370.5,4,100000,
463,2079.5,4,100000,
464,2803.5,4,100000,
465,2525,4,100000,
466,2226,4,100000,
467,3115.5,4,100000,
468,2657,4,100000,
469,2375.5,4,100000,
470,2098.5,4,100000,
471,2810.5,4,100000,
472,2541,4,100000,
473,2222,4,100000,
474,1942.5,4,100000,
475,2861,4,100000,
476,2383.5,4,100000,
477,3108,4,100000,
478,2703,4,100000,
479,2513.5,4,100000,
480,2421,4,100000,
481,2942.5,4,100000,
482,2662.5,4,100000,
483,2534,4,100000,
484,2116.5,4,100000,
485,2996,4,100000,
486,2499,4,100000,
487,2498,4,100000,
488,2966,4,100000,
489,2686,4,100000,
490,2605,4,100000,
491,2152.5,4,100000,
492,2834,4,100000,
493,2566.5,4,100000,
494,2306.5,4,100000,
495,2001,4,100000,
496,2735,4,100000,
497,2633,4,100000,
498,2139,4,100000,
499,2865.5,4,100000,
500,2580,4,100000,
501,2289.5,4,100000,
502,2963.5,4,100000,
503,3690,4,100000,
504,2425.5,4,100000,
505,3111,4,100000,
506,2942,4,100000,
507,2777.5,4,100000,
508,2339.5,4,100000,
509,2985.5,4,100000,
510,2833,4,100000,
511,2455.5,4,100000,
512,2188.5,4,100000,
513,2932,4,100000,
514,2840,4,100000,
515,2419,4,100000,
516,2176.5,4,100000,
517,2844,4,100000,
518,2730,4,100000,
519,2268,4,100000,
520,2038,4,100000,
521,2912,4,100000,
522,2443,4,100000,
523,2351.5,4,100000,
524,15627.5,4,100000,
525,2607,4,100000,
526,2329,4,100000,
527,3041.5,4,100000,
528,2957,4,100000,
529,2462.5,4,100000,
530,2219.5,4,100000,
531,2911.5,4,100000,
532,2668,4,100000,
533,2553.5,4,100000,
534,3049,4,100000,
535,2805.5,4,100000,
536,2527,4,100000,
537,2229.5,4,100000,
538,2911.5,4,100000,
539,2676.5,4,100000,
540,2389,4,100000,
541,2110.5,4,100000,
542,2813.5,4,100000,
543,2524.5,4,100000,
544,2243,4,100000,
545,3167.5,4,100000,
546,2685,4,100000,
547,2382,4,100000,
548,2099,4,100000,
549,2821,4,100000,
550,2740.5,4,100000,
551,2242.5,4,100000,
552,3140,4,100000,
553,2689.5,4,100000,
554,2545,4,100000,
555,2108.5,4,100000,
556,2833.5,4,100000,
557,2760.5,4,100000,
558,2283.5,4,100000,
559,3013,4,100000,
560,2747,4,100000,
561,2639,4,100000,
562,2230,4,100000,
563,2887,4,100000,
564,2658.5,4,100000,
565,2322.5,4,100000,
566,2079.5,4,100000,
567,2743,4,100000,
568,2508.5,4,100000,
569,2231,4,100000,
570,2910,4,100000,
571,2663.5,4,100000,
572,2372.5,4,100000,
573,2087.5,4,100000,
574,13753,4,100000,
575,2765,4,100000,
576,2246.5,4,100000,
577,2924,4,100000,
578,2685,4,100000,
579,2422.5,4,100000,
580,3117,4,100000,
581,2819.5,4,100000,
582,2554,4,100000,
583,2277,4,100000,
584,2388.5,4,100000,
585,2920.5,4,100000,
586,3402,4,100000,
587,2138,4,100000,
588,3822,4,100000,
589,2574.5,4,100000,
590,2455,4,100000,
591,3003.5,4,100000,
592,2715,4,100000,
593,2439,4,100000,
594,3155.5,4,100000,
595,2863,4,100000,
596,2578,4,100000,
597,2288,4,100000,
598,3035.5,4,100000,
599,2739.5,4,100000,
600,2655,4,100000,
601,3163,4,100000,
602,2865.5,4,100000,
603,2904.5,4,100000,
604,2349.5,4,100000,
605,2078,4,100000,
606,2743.5,4,100000,
607,2679,4,100000,
608,2236.5,4,100000,
609,1955,4,100000,
610,2695.5,4,100000,
611,2413,4,100000,
612,2147,4,100000,
613,2822.5,4,100000,
614,2593,4,100000,
615,2312.5,4,100000,
616,3027.5,4,100000,
617,2763.5,4,100000,
618,2482.5,4,100000,
619,2228,4,100000,
620,2925,4,100000,
621,2569.5,4,100000,
622,2436,4,100000,
623,2210.5,4,100000,
624,2941.5,4,100000,
625,2414,4,100000,
626,2139.5,4,100000,
627,2869.5,4,100000,
628,2556,4,100000,
629,2271,4,100000,
630,2024.5,4,100000,
631,2739.5,4,100000,
632,2654,4,100000,
633,2201.5,4,100000,
634,2901,4,100000,
635,2598,4,100000,
636,2373.5,4,100000,
637,3044,4,100000,
638,2759.5,4,100000,
639,2505.5,4,100000,
640,3211,4,100000,
641,2927,4,100000,
